_id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma
1;Welcome to Camden Town!;Willkommen in Camden Town!;passiv;Welcome;I;ph;;;[('Welcome', 'VB'), ('to', 'TO'), ('Camden', 'NNP'), ('Town', 'NNP'), ('!', '.')];['Welcome', 'to', 'Camden', 'Town', '!']
2;Welcome to;Willkommen in;passiv;Welcome;I;ph;;;[('Welcome', 'UH'), ('to', 'TO')];['Welcome', 'to']
3;can;können;aktiv;Welcome;I;v;*can* <> *can't* / *cannot*;;[('can', 'MD')];['can']
4;can't (= cannot);nicht können;aktiv;Welcome;I;ph;;;"[('ca', 'MD'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('can', 'MD'), ('not', 'RB'), (')', ')')]";"['ca', ""n't"", '(', '=', 'can', 'not', ')']"
5;to see;sehen;aktiv;Welcome;I;irr;I can *see* a car.;;[('to', 'TO'), ('see', 'VB')];['to', 'see']
6;a/an;ein(e);aktiv;Welcome;I;d;*a* car / *an* email;;[('a/an', 'NN')];['a/an']
7;car;Auto;aktiv;Welcome;I;s;;;[('car', 'NN')];['car']
8;I;ich;aktiv;Welcome;I;p;;;[('I', 'PRP')];['I']
9;to listen to;zuhören, (an)hören;aktiv;Welcome;I;ph;*Listen to* the CD.;;[('to', 'TO'), ('listen', 'VB'), ('to', 'TO')];['to', 'listen', 'to']
10;and;und;aktiv;Welcome;I;k;;;[('and', 'CC')];['and']
11;my;mein(e);aktiv;Welcome;I;d;;;[('my', 'PRP$')];['my']
12;name;Name;aktiv;Welcome;I;s;;;[('name', 'NN')];['name']
13;My name is;Ich heiße;aktiv;Welcome;I;ph;;;[('My', 'PRP$'), ('name', 'NN'), ('is', 'VBZ')];['My', 'name', 'is']
14;is;ist;aktiv;Welcome;I;irr;;;[('is', 'VBZ')];['is']
15;What's your name?;Wie heißt du?;aktiv;Welcome;I;ph;;;"[('What', 'WP'), (""'s"", 'VBZ'), ('your', 'PRP$'), ('name', 'NN'), ('?', '.')]";"['What', ""'s"", 'your', 'name', '?']"
16;hello;hallo!;aktiv;Welcome;I;i;;;[('hello', 'NN')];['hello']
17;I'm (= I am);ich bin, auch: ich heiße;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('(', '('), ('=', 'NN'), ('I', 'PRP'), ('am', 'VBP'), (')', ')')]";"['I', ""'m"", '(', '=', 'I', 'am', ')']"
18;am;bin;aktiv;Welcome;I;irr;;;[('am', 'VBP')];['am']
19;Hello, I'm …;Hallo, ich heiße …;aktiv;Welcome;I;ph;;;"[('Hello', 'NNP'), (',', ','), ('I', 'PRP'), (""'m"", 'VBP'), ('…', 'JJ')]";"['Hello', ',', 'I', ""'m"", '…']"
20;Where are you from?;Woher kommst du?;aktiv;Welcome;I;ph;;;[('Where', 'WRB'), ('are', 'VBP'), ('you', 'PRP'), ('from', 'IN'), ('?', '.')];['Where', 'are', 'you', 'from', '?']
21;you;du, dich, dir, Sie, Ihnen, ihr, euch;aktiv;Welcome;I;p;;;[('you', 'PRP')];['you']
22;I'm from …;Ich komme aus …;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('from', 'IN'), ('…', 'NN')]";"['I', ""'m"", 'from', '…']"
23;from;von, aus;aktiv;Welcome;I;pr;;;[('from', 'IN')];['from']
24;This is my brother/sister.;Das ist mein Bruder/meine Schwester.;aktiv;Welcome;I;ph;;;[('This', 'DT'), ('is', 'VBZ'), ('my', 'PRP$'), ('brother/sister', 'NN'), ('.', '.')];['This', 'is', 'my', 'brother/sister', '.']
25;this;diese(r, s), das;aktiv;Welcome;I;p;;;[('this', 'DT')];['this']
26;brother;Bruder;aktiv;Welcome;I;s;;;[('brother', 'NN')];['brother']
27;sister;Schwester;aktiv;Welcome;I;s;;;[('sister', 'NN')];['sister']
28;How old are you?;Wie alt bist du?;aktiv;Welcome;I;ph;;;[('How', 'WRB'), ('old', 'JJ'), ('are', 'VBP'), ('you', 'PRP'), ('?', '.')];['How', 'old', 'are', 'you', '?']
29;how;wie;aktiv;Welcome;I;av;;;[('how', 'WRB')];['how']
30;old;alt;aktiv;Welcome;I;a;;;[('old', 'JJ')];['old']
31;I'm ten.;Ich bin zehn (Jahre alt).;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('ten', 'JJ'), ('.', '.')]";"['I', ""'m"", 'ten', '.']"
32;are;bist, sind, seid;aktiv;Welcome;I;v;;;[('are', 'VBP')];['are']
33;I'm eleven years old.;Ich bin elf (Jahre alt).;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('eleven', 'JJ'), ('years', 'NNS'), ('old', 'JJ'), ('.', '.')]";"['I', ""'m"", 'eleven', 'year', 'old', '.']"
34;We're twelve.;Wir sind zwölf (Jahre alt).;aktiv;Welcome;I;ph;;;"[('We', 'PRP'), (""'re"", 'VBP'), ('twelve', 'NNS'), ('.', '.')]";"['We', ""'re"", 'twelve', '.']"
35;I'm … years old.;Ich bin … Jahre alt.;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('…', 'JJ'), ('years', 'NNS'), ('old', 'JJ'), ('.', '.')]";"['I', ""'m"", '…', 'year', 'old', '.']"
36;year;Jahr;aktiv;Welcome;I;s;;;[('year', 'NN')];['year']
37;we're (= we are);wir sind;aktiv;Welcome;I;ph;;;"[('we', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('we', 'PRP'), ('are', 'VBP'), (')', ')')]";"['we', ""'re"", '(', '=', 'we', 'are', ')']"
38;we;wir;aktiv;Welcome;I;p;;;[('we', 'PRP')];['we']
39;too;auch;aktiv;Welcome;I;av;I like elephants, *too*.;;[('too', 'RB')];['too']
40;twin;Zwilling;passiv;Welcome;I;s;;;[('twin', 'NN')];['twin']
41;Elephants are my favourite animals.;Elefanten sind meine Lieblingstiere.;aktiv;Welcome;I;ph;;;[('Elephants', 'NNS'), ('are', 'VBP'), ('my', 'PRP$'), ('favourite', 'JJ'), ('animals', 'NNS'), ('.', '.')];['Elephants', 'are', 'my', 'favourite', 'animal', '.']
42;elephant;Elefant;aktiv;Welcome;I;s;;;[('elephant', 'NN')];['elephant']
43;My favourite … is;Mein Lieblings… ist;aktiv;Welcome;I;ph;;;[('My', 'PRP$'), ('favourite', 'JJ'), ('…', 'NN'), ('is', 'VBZ')];['My', 'favourite', '…', 'is']
44;favourite;Lieblings-;aktiv;Welcome;I;a;;;[('favourite', 'NN')];['favourite']
45;animal;Tier;aktiv;Welcome;I;s;;;[('animal', 'NN')];['animal']
46;boring;langweilig;passiv;Welcome;I;a;;;[('boring', 'NN')];['boring']
47;don't (= do not);nicht tun, nicht machen;aktiv;Welcome;I;ph;;;"[('do', 'VBP'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('do', 'VBP'), ('not', 'RB'), (')', ')')]";"['do', ""n't"", '(', '=', 'do', 'not', ')']"
