_id;Chapter;Book;Page;Sentence;Tagged;Mapped;Lemma
1;Welcome;I;8;A car.;[('A', 'DT'), ('car', 'NN'), ('.', '.')];{'.': ['.'], 'car': ['car'], 'A': ['A']};['A', 'car', '.']
2;Welcome;I;9;Work with a partner.;[('Work', 'NN'), ('with', 'IN'), ('a', 'DT'), ('partner', 'NN'), ('.', '.')];{'a': ['a'], '.': ['.'], 'partner': ['partner'], 'Work': ['Work'], 'with': ['with']};['Work', 'with', 'a', 'partner', '.']
3;Welcome;I;9;Where are Charlie, Emma, Caroline, George, Gillian and Rajiv?;[('Where', 'WRB'), ('are', 'VBP'), ('Charlie', 'NNP'), (',', ','), ('Emma', 'NNP'), (',', ','), ('Caroline', 'NNP'), (',', ','), ('George', 'NNP'), (',', ','), ('Gillian', 'NNP'), ('and', 'CC'), ('Rajiv', 'NNP'), ('?', '.')];{'and': ['and'], 'Caroline': ['Caroline'], 'are': ['are'], 'Charlie': ['Charlie'], 'George': ['George'], 'Where': ['Where'], ',': [',', ',', ',', ','], 'Gillian': ['Gillian'], '?': ['?'], 'Emma': ['Emma'], 'Rajiv': ['Rajiv']};['Where', 'are', 'Charlie', ',', 'Emma', ',', 'Caroline', ',', 'George', ',', 'Gillian', 'and', 'Rajiv', '?']
4;Welcome;I;9;Where is Charlie?;[('Where', 'WRB'), ('is', 'VBZ'), ('Charlie', 'NNP'), ('?', '.')];{'Where': ['Where'], 'Charlie': ['Charlie'], 'is': ['is'], '?': ['?']};['Where', 'is', 'Charlie', '?']
5;Welcome;I;9;Charlie is near the dogs.;[('Charlie', 'NNP'), ('is', 'VBZ'), ('near', 'IN'), ('the', 'DT'), ('dogs', 'NNS'), ('.', '.')];{'.': ['.'], 'Charlie': ['Charlie'], 'the': ['the'], 'dog': ['dogs'], 'near': ['near'], 'is': ['is']};['Charlie', 'is', 'near', 'the', 'dog', '.']
6;Welcome;I;10;Where are you from?;[('Where', 'WRB'), ('are', 'VBP'), ('you', 'PRP'), ('from', 'IN'), ('?', '.')];{'Where': ['Where'], 'you': ['you'], 'from': ['from'], 'are': ['are'], '?': ['?']};['Where', 'are', 'you', 'from', '?']
7;Welcome;I;10;Hi, my name is Emma.;[('Hi', 'NNP'), (',', ','), ('my', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('Emma', 'NNP'), ('.', '.')];{'.': ['.'], 'name': ['name'], 'Emma': ['Emma'], ',': [','], 'my': ['my'], 'Hi': ['Hi'], 'is': ['is']};['Hi', ',', 'my', 'name', 'is', 'Emma', '.']
8;Welcome;I;10;What’s your name?;[('What’s', 'IN'), ('your', 'PRP$'), ('name', 'NN'), ('?', '.')];{'What’s': ['What’s'], 'name': ['name'], 'your': ['your'], '?': ['?']};['What’s', 'your', 'name', '?']
9;Welcome;I;10;Hello!;[('Hello', 'NN'), ('!', '.')];{'!': ['!'], 'Hello': ['Hello']};['Hello', '!']
10;Welcome;I;10;I’m Gillian.;[('I’m', 'NNP'), ('Gillian', 'NNP'), ('.', '.')];{'.': ['.'], 'Gillian': ['Gillian'], 'I’m': ['I’m']};['I’m', 'Gillian', '.']
11;Welcome;I;10;Hi!;[('Hi', 'NN'), ('!', '.')];{'!': ['!'], 'Hi': ['Hi']};['Hi', '!']
12;Welcome;I;10;I’m Caroline.;[('I’m', 'NNP'), ('Caroline', 'NNP'), ('.', '.')];{'.': ['.'], 'Caroline': ['Caroline'], 'I’m': ['I’m']};['I’m', 'Caroline', '.']
13;Welcome;I;10;I’m from Manchester.;[('I’m', 'NN'), ('from', 'IN'), ('Manchester', 'NNP'), ('.', '.')];{'.': ['.'], 'from': ['from'], 'Manchester': ['Manchester'], 'I’m': ['I’m']};['I’m', 'from', 'Manchester', '.']
14;Welcome;I;10;This is George – my brother.;[('This', 'DT'), ('is', 'VBZ'), ('George', 'NNP'), ('–', 'NNP'), ('my', 'PRP$'), ('brother', 'NN'), ('.', '.')];{'–': ['–'], '.': ['.'], 'brother': ['brother'], 'George': ['George'], 'my': ['my'], 'This': ['This'], 'is': ['is']};['This', 'is', 'George', '–', 'my', 'brother', '.']
15;Welcome;I;10;Hi!;[('Hi', 'NN'), ('!', '.')];{'!': ['!'], 'Hi': ['Hi']};['Hi', '!']
16;Welcome;I;10;Oh, an elephant!;[('Oh', 'UH'), (',', ','), ('an', 'DT'), ('elephant', 'NN'), ('!', '.')];{'Oh': ['Oh'], 'an': ['an'], 'elephant': ['elephant'], '!': ['!'], ',': [',']};['Oh', ',', 'an', 'elephant', '!']
17;Welcome;I;10;I don’t like elephants.;[('I', 'PRP'), ('don’t', 'VBP'), ('like', 'IN'), ('elephants', 'NNS'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'elephant': ['elephants'], 'like': ['like'], 'don’t': ['don’t']};['I', 'don’t', 'like', 'elephant', '.']
18;Welcome;I;10;How old are you?;[('How', 'WRB'), ('old', 'JJ'), ('are', 'VBP'), ('you', 'PRP'), ('?', '.')];{'you': ['you'], 'old': ['old'], 'How': ['How'], 'are': ['are'], '?': ['?']};['How', 'old', 'are', 'you', '?']
19;Welcome;I;10;Elephants are my favourite animals.;[('Elephants', 'NNS'), ('are', 'VBP'), ('my', 'PRP$'), ('favourite', 'JJ'), ('animals', 'NNS'), ('.', '.')];{'animal': ['animals'], 'are': ['are'], 'my': ['my'], '.': ['.'], 'Elephants': ['Elephants'], 'favourite': ['favourite']};['Elephants', 'are', 'my', 'favourite', 'animal', '.']
20;Welcome;I;10;I like football.;[('I', 'PRP'), ('like', 'VBP'), ('football', 'NN'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'football': ['football'], 'like': ['like']};['I', 'like', 'football', '.']
21;Welcome;I;10;Manchester United is my team!;[('Manchester', 'NNP'), ('United', 'NNP'), ('is', 'VBZ'), ('my', 'PRP$'), ('team', 'NN'), ('!', '.')];{'!': ['!'], 'Manchester': ['Manchester'], 'team': ['team'], 'my': ['my'], 'United': ['United'], 'is': ['is']};['Manchester', 'United', 'is', 'my', 'team', '!']
22;Welcome;I;10;I’m twelve.;[('I’m', 'NNP'), ('twelve', 'NN'), ('.', '.')];{'.': ['.'], 'twelve': ['twelve'], 'I’m': ['I’m']};['I’m', 'twelve', '.']
23;Welcome;I;10;I’m eleven.;[('I’m', 'NNP'), ('eleven', 'RB'), ('.', '.')];{'eleven': ['eleven'], '.': ['.'], 'I’m': ['I’m']};['I’m', 'eleven', '.']
24;Welcome;I;10;Boring!;[('Boring', 'NN'), ('!', '.')];{'!': ['!'], 'Boring': ['Boring']};['Boring', '!']
25;Welcome;I;10;We’re eleven, too.;[('We’re', 'NNP'), ('eleven', 'RB'), (',', ','), ('too', 'RB'), ('.', '.')];{'eleven': ['eleven'], '.': ['.'], 'too': ['too'], ',': [','], 'We’re': ['We’re']};['We’re', 'eleven', ',', 'too', '.']
26;Welcome;I;10;We’re twins.;[('We’re', 'NNP'), ('twins', 'NNS'), ('.', '.')];{'.': ['.'], 'twin': ['twins'], 'We’re': ['We’re']};['We’re', 'twin', '.']
27;Welcome;I;10;Boring!;[('Boring', 'NN'), ('!', '.')];{'!': ['!'], 'Boring': ['Boring']};['Boring', '!']
28;Welcome;I;11;Talk to a partner.;[('Talk', 'NN'), ('to', 'TO'), ('a', 'DT'), ('partner', 'NN'), ('.', '.')];{'Talk': ['Talk'], 'a': ['a'], '.': ['.'], 'partner': ['partner'], 'to': ['to']};['Talk', 'to', 'a', 'partner', '.']
29;Welcome;I;11;What about you?;[('What', 'WP'), ('about', 'IN'), ('you', 'PRP'), ('?', '.')];{'you': ['you'], '?': ['?'], 'What': ['What'], 'about': ['about']};['What', 'about', 'you', '?']
30;Welcome;I;11;My name is Leon.;[('My', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('Leon', 'NNP'), ('.', '.')];{'Leon': ['Leon'], 'My': ['My'], 'name': ['name'], '.': ['.'], 'is': ['is']};['My', 'name', 'is', 'Leon', '.']
31;Welcome;I;11;I’m ten.;[('I’m', 'NNP'), ('ten', 'NN'), ('.', '.')];{'ten': ['ten'], '.': ['.'], 'I’m': ['I’m']};['I’m', 'ten', '.']
32;Welcome;I;11;I’m from Münster.;[('I’m', 'NN'), ('from', 'IN'), ('Münster', 'NNP'), ('.', '.')];{'.': ['.'], 'from': ['from'], 'Münster': ['Münster'], 'I’m': ['I’m']};['I’m', 'from', 'Münster', '.']
33;Welcome;I;11;I like dogs.;[('I', 'PRP'), ('like', 'VBP'), ('dogs', 'NNS'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'like': ['like'], 'dog': ['dogs']};['I', 'like', 'dog', '.']
